Sentence|AE|Drug
Ulcer became worse after tobramycin and gentamycin treatment for 2 days.|Ulcer became worse|tobramycin
Possible linkage of amprenavir with intracranial bleeding in an HIV-infected hemophiliac.|intracranial bleeding|amprenavir
The bleeding resolved on discontinuation of APV.|bleeding|APV
We report the occurrence of spontaneous intracranial bleeding in an human immunodeficiency virus (HIV)-infected adolescent with hemophilia A who was receiving amprenavir (APV).|intracranial bleeding|amprenavir
According to the Naranjo probability scale, the relationship of gemcitabine treatment with cutaneous eruption in our patient is possible.|cutaneous eruption|gemcitabine
CONCLUSIONS: We report the first case of gemcitabine-induced LABD.|LABD|gemcitabine
Linear immunoglobulin A bullous dermatosis induced by gemcitabine.|Linear immunoglobulin A bullous dermatosis|gemcitabine
OBJECTIVE: To report a case of linear immunoglobulin (Ig) A bullous dermatosis (LABD) induced by gemcitabine.|LABD|gemcitabine
OBJECTIVE: To report a case of linear immunoglobulin (Ig) A bullous dermatosis (LABD) induced by gemcitabine.|linear immunoglobulin (Ig) A bullous dermatosis|gemcitabine
Twenty-four hours after the administration of gemcitabine, a symmetric, bullous, herpetiform eruption appeared on his trunk and upper limbs.|symmetric, bullous, herpetiform eruption|gemcitabine
Vancomycin is the most frequently implicated drug, but other agents have been reported to cause LABD.|LABD|Vancomycin
Although taxol has shown significant activity in advanced ovarian cancer, peripheral neuropathy is likely to become the major dose-limiting toxicity.|peripheral neuropathy|taxol
A rare case of advanced ovarian carcinoma who developed difficulty walking 25 days after treatment with weekly paclitaxel.|difficulty walking|paclitaxel
We describe a case of advanced ovarian carcinoma who developed difficulty walking because of marked pain in the lower extremities and loss of proprioception 25 days after treatment with weekly taxol (80 mg/m(2)x3).|difficulty walking|taxol
We describe a case of advanced ovarian carcinoma who developed difficulty walking because of marked pain in the lower extremities and loss of proprioception 25 days after treatment with weekly taxol (80 mg/m(2)x3).|loss of proprioception|taxol
We describe a case of advanced ovarian carcinoma who developed difficulty walking because of marked pain in the lower extremities and loss of proprioception 25 days after treatment with weekly taxol (80 mg/m(2)x3).|marked pain|taxol
Relief by naloxone of morphine-induced spasm of the sphincter of Oddi in a post-cholecystectomy patient.|spasm|morphine
We present the case of a patient who had undergone cholecystectomy previously, but in whom morphine given in the Emergency Department precipitated pain consistent with biliary colic; the pain resolved promptly after administration of naloxone.|biliary colic|morphine
We present the case of a patient who had undergone cholecystectomy previously, but in whom morphine given in the Emergency Department precipitated pain consistent with biliary colic; the pain resolved promptly after administration of naloxone.|pain|morphine
Myasthenia gravis during low-dose IFN-alpha therapy for chronic hepatitis C.|Myasthenia gravis|IFN-alpha
A patient with rheumatoid arthritis developed an acute intrahepatic cholestasis after 100 mg of sodium aurothiomalate.|intrahepatic cholestasis|sodium aurothiomalate
Acute lung injury associated with 5-fluorouracil and oxaliplatinum combined chemotherapy.|Acute lung injury|5-fluorouracil
Acute lung injury associated with 5-fluorouracil and oxaliplatinum combined chemotherapy.|Acute lung injury|oxaliplatinum
Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.|bilateral patchy pulmonary infiltrates|5-fluorouracil
Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.|bilateral patchy pulmonary infiltrates|oxaliplatinum
Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.|Diarrhoea|5-fluorouracil
Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.|Diarrhoea|oxaliplatinum
Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.|T-CD4+ lymphopenia|5-fluorouracil
Diarrhoea, T-CD4+ lymphopenia and bilateral patchy pulmonary infiltrates developed in a male 60 yrs of age, who was treated with oxaliplatinum and 5-fluorouracil for unresectable rectum carcinoma.|T-CD4+ lymphopenia|oxaliplatinum
It is concluded that the aforementioned pathological manifestations were due to chemotherapy and included a pulmonary adverse reaction, a feature never previously associated with oxaliplatinum and 5-fluorouracil regimens.|pulmonary adverse reaction|5-fluorouracil
It is concluded that the aforementioned pathological manifestations were due to chemotherapy and included a pulmonary adverse reaction, a feature never previously associated with oxaliplatinum and 5-fluorouracil regimens.|pulmonary adverse reaction|oxaliplatinum
BACKGROUND: Accutane a teratogenic prescription drug licensed to treat severe, recalcitrant nodular acne.|teratogenic|Accutane
RESULTS: The estimated number of Accutane prescriptions for reproductive-aged women has more than doubled in the past 10 years; it is the most widely used teratogenic drug in the United States, with approximately 2.5 per 1,000 reproductive-aged women exposed to Accutane in 1999.|teratogenic|Accutane
A 62-year-old woman treated with pranlukast for 2 months developed interstitial pneumonitis with a high fever.|high fever|pranlukast
A 62-year-old woman treated with pranlukast for 2 months developed interstitial pneumonitis with a high fever.|interstitial pneumonitis|pranlukast
Acute interstitial pneumonia induced by ONO-1078 (pranlukast), a leukotriene receptor antagonist.|interstitial pneumonia|ONO-1078
Acute interstitial pneumonia induced by ONO-1078 (pranlukast), a leukotriene receptor antagonist.|interstitial pneumonia|pranlukast
An asymptomatic HIV-infected woman experienced right-sided renal colicky pain during treatment with indinavir.|renal colicky pain|indinavir
Indinavir-associated nephrolithiasis and chronic interstitial nephritis were the only possible causes identified in this patient.|interstitial nephritis|Indinavir
Indinavir-associated nephrolithiasis and chronic interstitial nephritis were the only possible causes identified in this patient.|nephrolithiasis|Indinavir
Papillary necrosis associated with the HIV protease inhibitor indinavir.|Papillary necrosis|indinavir
Physicians should be aware that indinavir nephrolithiasis may cause papillary necrosis.|nephrolithiasis|indinavir
Physicians should be aware that indinavir nephrolithiasis may cause papillary necrosis.|papillary necrosis|indinavir
The HIV protease inhibitor indinavir may cause nephrolithiasis and interstitial nephritis.|interstitial nephritis|indinavir
The HIV protease inhibitor indinavir may cause nephrolithiasis and interstitial nephritis.|nephrolithiasis|indinavir
The renal consequences of indinavir-associated nephrotoxicity are uncertain.|nephrotoxicity|indinavir
We report a case of papillary necrosis in a patient treated with indinavir.|papillary necrosis|indinavir
We describe 2 male patients, a 49-year-old with psoriatic arthritis and impaired renal function and a 43-year-old renal transplant recipient, who both sustained a marked decline in glomerular filtration rate in conjunction with a selective inhibitor of cyclooxygenase-2 (COX-2), rofecoxib.|decline in glomerular filtration rate|rofecoxib
CONCLUSIONS: LTG overdose may result in a severe but reversible encephalopathy, a previously undescribed phenomenon.|encephalopathy|LTG
Evaluation revealed elevated serum LTG levels and no other etiology for encephalopathy.|elevated serum LTG levels|LTG
METHODS: A 55-year-old woman became stuporous after overdose with lamotrigine (LTG) and valproic acid (VPA) tablets.|stuporous|lamotrigine
METHODS: A 55-year-old woman became stuporous after overdose with lamotrigine (LTG) and valproic acid (VPA) tablets.|stuporous|LTG
METHODS: A 55-year-old woman became stuporous after overdose with lamotrigine (LTG) and valproic acid (VPA) tablets.|stuporous|valproic acid
METHODS: A 55-year-old woman became stuporous after overdose with lamotrigine (LTG) and valproic acid (VPA) tablets.|stuporous|VPA
PURPOSE: To report that acute lamotrigine poisoning may result in severe encephalopathy.|encephalopathy|lamotrigine
Stupor from lamotrigine toxicity.|Stupor|lamotrigine
The cause of death was determined to be acute intoxication by olanzapine, and the manner of death was accidental.|acute intoxication|olanzapine
This article describes the case of a 25-year-old man found dead at home who had been prescribed olanzapine for schizophrenia.|dead|olanzapine
Lichenoid drug eruption to salsalate.|Lichenoid drug eruption|salsalate
This eruption emerged after 1 month of therapy with salsalate, persisted for as long as salsalate was administered, and cleared within 3 weeks of discontinuing the medication.|eruption|salsalate
We describe a patient who experienced a lichenoid eruption after the initiation of salsalate for relief of arthritic pain.|lichenoid eruption|salsalate
Amphotericin B-induced seizures in a patient with AIDS.|seizures|Amphotericin B
CASE SUMMARY: A 46-year-old African-American man experienced recurrent grand mal seizures during intravenous infusion of amphotericin B, then petit mal seizures as the infusion was stopped and the drug concentrations decreased with time.|grand mal seizures|amphotericin B
CONCLUSIONS: Amphotericin B seems to be the probable cause of the seizures.|seizures|Amphotericin B
Despite administration of phenytoin and lorazepam, the seizures persisted and occurred only during amphotercin B administration.|seizures|amphotercin B
Didanosine also has a potential for inducing seizures.|seizures|Didanosine
OBJECTIVE: To report a case of multiple episodes of seizure activity in an AIDS patent following amphotericin B infusion.|seizure|amphotericin B
The time course of events suggested that amphotericin B was the cause of the seizures in this AIDS patient.|seizures|amphotericin B
To date, only three cases of seizures associated with amphotericin B have been reported in the literature, but healthcare providers should be aware of the potential for this rare adverse effect.|seizures|amphotericin B
Vocal cord paralysis as a consequence of peritonsillar infiltration with bupivacaine.|Vocal cord paralysis|bupivacaine
We present the case of a 5-year-old girl who developed bilateral vocal cord paralysis following preoperative peritonsillar bupivacaine infiltration.|bilateral vocal cord paralysis|bupivacaine
A 53 year old Greenlandic male was admitted twice over a period of 4 years with a new complete right bundle branch block after ingestion of 10 g and 4 g of carbamazepine respectively.|right bundle branch block|carbamazepine
Carbamazepine induced right bundle branch block in a Greenlandic patient.|right bundle branch block|Carbamazepine
Cicatricial entropion associated with chronic dipivefrin application.|Cicatricial entropion|dipivefrin
CONCLUSIONS: Cicatrization in the substantia propria of the conjunctiva by excessive lymphocytic infiltration after topically administered antiglaucoma drugs including dipivefrin is a possible mechanism of action for entropion.|entropion|dipivefrin
Nine eyes from 6 patients, 74 years to 90 years of age, referred by ophthalmologists for repair of cicatricial entropion after at least 2 years of twice-a-day application of dipivefrin.|cicatricial entropion|dipivefrin
PURPOSE: To report patients who presented to the oculoplastics department for repair of cicatrical entropion after topical use of dipivefrin.|cicatrical entropion|dipivefrin
A 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis.|constellation of dermatitis|sulphasalazine
A 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis.|fever|sulphasalazine
A 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis.|hepatitis|sulphasalazine
A 34-year-old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero-negative rheumatoid arthritis.|lymphadenopathy|sulphasalazine
It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called "3-week sulphasalazine syndrome", a rare, but often fatal, immunoallergic reaction to sulphasalazine.|fatal|sulphasalazine
It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called "3-week sulphasalazine syndrome", a rare, but often fatal, immunoallergic reaction to sulphasalazine.|fatal|sulphasalazine
It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called "3-week sulphasalazine syndrome", a rare, but often fatal, immunoallergic reaction to sulphasalazine.|immunoallergic reaction|sulphasalazine
It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called "3-week sulphasalazine syndrome", a rare, but often fatal, immunoallergic reaction to sulphasalazine.|immunoallergic reaction|sulphasalazine
It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called "3-week sulphasalazine syndrome", a rare, but often fatal, immunoallergic reaction to sulphasalazine.|sulphasalazine syndrome|sulphasalazine
It is thought that the clinico-pathological features and chronology of this case bore the hallmarks of the so-called "3-week sulphasalazine syndrome", a rare, but often fatal, immunoallergic reaction to sulphasalazine.|sulphasalazine syndrome|sulphasalazine
The 3-week sulphasalazine syndrome strikes again.|sulphasalazine syndrome|sulphasalazine
Interestingly, the use of carboplatin (CBDCA) and VDS in the subsequent treatment course was well tolerated indicating that the SIADH was most likely to have been induced by administration of CDDP.|SIADH|CDDP
Syndrome of inappropriate secretion of ADH (SIADH) following cisplatin administration in a pulmonary adenocarcinoma patient with a malignant pleural effusion.|SIADH|cisplatin
Syndrome of inappropriate secretion of ADH (SIADH) following cisplatin administration in a pulmonary adenocarcinoma patient with a malignant pleural effusion.|Syndrome of inappropriate secretion of ADH|cisplatin
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).|SIADH|CDDP
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).|SIADH|cisplatin
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).|SIADH|VDS
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).|SIADH|vindesine
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).|syndrome of inappropriate secretion of antidiuretic hormone|CDDP
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).|syndrome of inappropriate secretion of antidiuretic hormone|cisplatin
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).|syndrome of inappropriate secretion of antidiuretic hormone|VDS
We report a patient with pulmonary adenocarcinoma complicated by the syndrome of inappropriate secretion of antidiuretic hormone (SIADH) following systemic chemotherapy with cisplatin (CDDP) and vindesine (VDS).|syndrome of inappropriate secretion of antidiuretic hormone|vindesine
After extensive neurological 'work up', we realized that the anisocoria was related to the transdermal scopolamine patch that we had prescribed for weaning off the opioid.|anisocoria|scopolamine
Anisocoria from transdermal scopolamine.|Anisocoria|scopolamine
De novo absence status of late onset following withdrawal of lorazepam: a case report.|De novo absence status|lorazepam
The aim of this report is to describe the clinical and electroencephalographic findings seen in an elderly woman without previous history of seizures who developed a nonconvulsive generalized status epilepticus following acute withdrawal of lorazepam.|nonconvulsive generalized status epilepticus|lorazepam
Early recognition of hereditary motor and sensory neuropathy type 1 can avoid life-threatening vincristine neurotoxicity.|life-threatening vincristine neurotoxicity|vincristine
Recognizing early signs of HMSN, such as areflexia and pes cavus deformity, can prevent severe neurotoxicity of polychemotherapy by avoiding vincristine.|severe neurotoxicity|vincristine
The disease predisposes to severe vincristine neurotoxicity.|vincristine neurotoxicity|vincristine
We report a 31-year-old women with recurrent Hodgkin's lymphoma and unrecognized HMSN-1 who developed severe motor neuropathy 3 weeks after the first cycle of treatment including 2 mg of vincristine.|severe motor neuropathy|vincristine
Acute asymptomatic hepatitis in a healthy normal volunteer exposed to 2 oral doses of amodiaquine and artesunate.|asymptomatic hepatitis|amodiaquine
Acute asymptomatic hepatitis in a healthy normal volunteer exposed to 2 oral doses of amodiaquine and artesunate.|asymptomatic hepatitis|artesunate
This report describes an unexpected drug-induced hepatitis in a previously healthy young woman exposed to 2 doses of amodiaquine and artesunate.|hepatitis|amodiaquine
This report describes an unexpected drug-induced hepatitis in a previously healthy young woman exposed to 2 doses of amodiaquine and artesunate.|hepatitis|artesunate
Systemic allergic contact dermatitis to 8-methoxypsoralen (8-MOP).|Systemic allergic contact dermatitis|8-methoxypsoralen
Systemic allergic contact dermatitis to 8-methoxypsoralen (8-MOP).|Systemic allergic contact dermatitis|8-MOP
We describe a patient who had a systemic allergic contact dermatitis to 8-MOP develop during her second course of PUVA treatment for psoriasis.|systemic allergic contact dermatitis|8-MOP
A 33-year-old man with a history of recreational benztropine abuse presented to the emergency department with confusion, abdominal pain, and distention.|abdominal pain|benztropine
A 33-year-old man with a history of recreational benztropine abuse presented to the emergency department with confusion, abdominal pain, and distention.|confusion|benztropine
A 33-year-old man with a history of recreational benztropine abuse presented to the emergency department with confusion, abdominal pain, and distention.|distention|benztropine
Agranulocytosis and granulocytopenia associated with quetiapine.|Agranulocytosis|quetiapine
Agranulocytosis and granulocytopenia associated with quetiapine.|granulocytopenia|quetiapine
CONCLUSION: Although a definite association has not been proven, clinicians should be aware of the possibility of agranulocytosis while using quetiapine.|agranulocytosis|quetiapine
METHOD: We describe three case-reports concerning haematological adverse effects of quetiapine.|haematological adverse effects|quetiapine
RESULTS: Quetiapine was associated with leucopenia in two patients and clinically apparent agranulocytosis in one patient.|agranulocytosis|Quetiapine
RESULTS: Quetiapine was associated with leucopenia in two patients and clinically apparent agranulocytosis in one patient.|leucopenia|Quetiapine
CONCLUSIONS: There is very little published information regarding ofloxacin-induced toxic epidermal necrolysis.|toxic epidermal necrolysis|ofloxacin
However, a large case-control study included three cases of either Stevens-Johnson syndrome or toxic epidermal necrolysis associated with ofloxacin use, but no details of the cases were given.|Stevens-Johnson syndrome|ofloxacin
However, a large case-control study included three cases of either Stevens-Johnson syndrome or toxic epidermal necrolysis associated with ofloxacin use, but no details of the cases were given.|toxic epidermal necrolysis|ofloxacin
It is hoped that this case report creates awareness that ofloxacin-induced toxic epidermal necrolysis is possible.|toxic epidermal necrolysis|ofloxacin
OBJECTIVE: To report a fatal case of toxic epidermal necrolysis in a man who was treated with oral ofloxacin for epididymitis.|toxic epidermal necrolysis|ofloxacin
Ofloxacin: a probable cause of toxic epidermal necrolysis.|toxic epidermal necrolysis|Ofloxacin
This report rules out other causes of toxic epidermal necrolysis and implicates ofloxacin in what appears to be an atypical presentation of drug-induced toxic epidermal necrolysis.|toxic epidermal necrolysis|ofloxacin
This report rules out other causes of toxic epidermal necrolysis and implicates ofloxacin in what appears to be an atypical presentation of drug-induced toxic epidermal necrolysis.|toxic epidermal necrolysis|ofloxacin
A boy with chronic neutropenia and recurrent inflammatory skin lesions developed multiple erythematous nodules following administration of G-CSF.|multiple erythematous nodules|G-CSF
A girl with cystic fibrosis and cyclic neutropenia developed an erythematous papular eruption without fever or neutrophilia 7 months after commencing therapy with G-CSF.|erythematous papular eruption|G-CSF
Neutrophilic dermatoses in two children with idiopathic neutropenia: association with granulocyte colony-stimulating factor (G-CSF) therapy.|Neutrophilic dermatoses|G-CSF
Neutrophilic dermatoses in two children with idiopathic neutropenia: association with granulocyte colony-stimulating factor (G-CSF) therapy.|Neutrophilic dermatoses|granulocyte colony-stimulating factor
Painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (G-CSF) for treatment of idiopathic neutropenia.|neutrophilic skin lesions|G-CSF
Painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (G-CSF) for treatment of idiopathic neutropenia.|neutrophilic skin lesions|granulocyte colony-stimulating factor
Painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (G-CSF) for treatment of idiopathic neutropenia.|Painful|G-CSF
Painful neutrophilic skin lesions were observed in two children receiving granulocyte colony-stimulating factor (G-CSF) for treatment of idiopathic neutropenia.|Painful|granulocyte colony-stimulating factor
We believe that these skin eruptions belong to a spectrum of neutrophilic dermatoses that can be induced or aggravated by G-CSF therapy.|neutrophilic dermatoses|G-CSF
We believe that these skin eruptions belong to a spectrum of neutrophilic dermatoses that can be induced or aggravated by G-CSF therapy.|skin eruptions|G-CSF
There is a putative role of liothyronine administration in precipitating or activating hyperthyroidism.|hyperthyroidism|liothyronine
Triiodothyronine-induced thyrotoxicosis in ophthalmic Graves disease.|thyrotoxicosis|Triiodothyronine
This case report describes the development of asymptomatic visual field defects (VFDs) in a psychiatric patient with bipolar disorder receiving adjunctive tiagabine treatment.|VFDs|tiagabine
This case report describes the development of asymptomatic visual field defects (VFDs) in a psychiatric patient with bipolar disorder receiving adjunctive tiagabine treatment.|visual field defects|tiagabine
Pulmonary toxicity with mefloquine.|Pulmonary toxicity|mefloquine
This is the second report of acute lung injury and diffuse alveolar damage caused by mefloquine.|acute lung injury|mefloquine
This is the second report of acute lung injury and diffuse alveolar damage caused by mefloquine.|diffuse alveolar damage|mefloquine
This report presents a case of acute lung injury developing within hours after administration of mefloquine for a low-level Plasmodium falciparum malaria, which was persistent despite halofantrine therapy.|acute lung injury|mefloquine
An adult male presented with central blindness after ingesting methanol.|central blindness|methanol
Reversal of severe methanol-induced visual impairment: no evidence of retinal toxicity due to fomepizole.|visual impairment|methanol
Extra caution should be taken in using octreotide or its long-acting analog in patients otherwise predisposed to intrahepatic bile stasis.|intrahepatic bile stasis|octreotide
Gallstones and bile sludge are common side effects of octreotide therapy but rarely become symptomatic or require treatment.|bile sludge|octreotide
Gallstones and bile sludge are common side effects of octreotide therapy but rarely become symptomatic or require treatment.|Gallstones|octreotide
Hepatolithiasis (intrahepatic stone) during octreotide therapy for acromegaly: a case report.|Hepatolithiasis|octreotide
In addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation.|alters bile acid composition|octreotide
In addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation.|gallbladder stasis|octreotide
In addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation.|hasten intrahepatic sludge|octreotide
In addition to its known effect on gallbladder stasis, octreotide alters bile acid composition and may thus hasten intrahepatic sludge and stone formation.|stone formation|octreotide
This is the first reported case of hepatolithiasis during octreotide therapy.|hepatolithiasis|octreotide
We report a case of hepatolithiasis (intrahepatic stone) complicated by gram-negative sepsis in a 37 year old male with acromegaly being treated with octreotide.|hepatolithiasis|octreotide
However, in the mid-to-late 1980s, a series of letters to the editor and case reports announced an association between tamoxifen therapy in women with breast cancer and the development of endometrial carcinoma.|endometrial carcinoma|tamoxifen
In this healthy population, the relative risk of developing endometrial carcinoma in the tamoxifen arm was 2.54, although when stratified by age, in women over 50, the risk grew to 4.01.|endometrial carcinoma|tamoxifen
INH, which is a leading cause of drug eruptions in the above group of drugs was withdrawn.|drug eruptions|INH
Isonicotinic acid hydrazide induced anagen effluvium and associated lichenoid eruption.|anagen effluvium|Isonicotinic acid hydrazide
Isonicotinic acid hydrazide induced anagen effluvium and associated lichenoid eruption.|lichenoid eruption|Isonicotinic acid hydrazide
Such anagen effluvium with lichenoid eruption following INH therapy has not been observed previously.|anagen effluvium|INH
Such anagen effluvium with lichenoid eruption following INH therapy has not been observed previously.|lichenoid eruption|INH
Linear IgA bullous dermatosis occurring after carbamazepine.|Linear IgA bullous dermatosis|carbamazepine
We report a patient who experienced LABD shortly after starting carbamazepine therapy.|LABD|carbamazepine
After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.|agitation|metoclopramide
After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.|confusion|metoclopramide
After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.|diaphoresis|metoclopramide
After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.|fever|metoclopramide
After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.|hypertension|metoclopramide
After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.|tachycardia|metoclopramide
After a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension.|tachypnea|metoclopramide
CONCLUSIONS: Clinicians should be aware of a risk of serotonin syndrome with serious extrapyramidal reactions in patients receiving sertraline or venlafaxine when metoclopramide is coadministered even in a single, conventional dose.|extrapyramidal reactions|metoclopramide
CONCLUSIONS: Clinicians should be aware of a risk of serotonin syndrome with serious extrapyramidal reactions in patients receiving sertraline or venlafaxine when metoclopramide is coadministered even in a single, conventional dose.|extrapyramidal reactions|sertraline
CONCLUSIONS: Clinicians should be aware of a risk of serotonin syndrome with serious extrapyramidal reactions in patients receiving sertraline or venlafaxine when metoclopramide is coadministered even in a single, conventional dose.|extrapyramidal reactions|venlafaxine
CONCLUSIONS: Clinicians should be aware of a risk of serotonin syndrome with serious extrapyramidal reactions in patients receiving sertraline or venlafaxine when metoclopramide is coadministered even in a single, conventional dose.|serotonin syndrome|metoclopramide
CONCLUSIONS: Clinicians should be aware of a risk of serotonin syndrome with serious extrapyramidal reactions in patients receiving sertraline or venlafaxine when metoclopramide is coadministered even in a single, conventional dose.|serotonin syndrome|sertraline
CONCLUSIONS: Clinicians should be aware of a risk of serotonin syndrome with serious extrapyramidal reactions in patients receiving sertraline or venlafaxine when metoclopramide is coadministered even in a single, conventional dose.|serotonin syndrome|venlafaxine
OBJECTIVE: To report 2 cases of serotonin syndrome with serious extrapyramidal movement disorders occurring when metoclopramide was coadministered with sertraline or venlafaxine.|extrapyramidal movement disorders|metoclopramide
OBJECTIVE: To report 2 cases of serotonin syndrome with serious extrapyramidal movement disorders occurring when metoclopramide was coadministered with sertraline or venlafaxine.|extrapyramidal movement disorders|sertraline
OBJECTIVE: To report 2 cases of serotonin syndrome with serious extrapyramidal movement disorders occurring when metoclopramide was coadministered with sertraline or venlafaxine.|extrapyramidal movement disorders|venlafaxine
OBJECTIVE: To report 2 cases of serotonin syndrome with serious extrapyramidal movement disorders occurring when metoclopramide was coadministered with sertraline or venlafaxine.|serotonin syndrome|metoclopramide
OBJECTIVE: To report 2 cases of serotonin syndrome with serious extrapyramidal movement disorders occurring when metoclopramide was coadministered with sertraline or venlafaxine.|serotonin syndrome|sertraline
OBJECTIVE: To report 2 cases of serotonin syndrome with serious extrapyramidal movement disorders occurring when metoclopramide was coadministered with sertraline or venlafaxine.|serotonin syndrome|venlafaxine
Serotonin syndrome caused by selective serotonin reuptake-inhibitors-metoclopramide interaction.|Serotonin syndrome|metoclopramide
She was administered metoclopramide because of nausea and, within 2 hours, developed agitation, dysarthria, diaphoresis, and a movement disorder.|agitation|metoclopramide
She was administered metoclopramide because of nausea and, within 2 hours, developed agitation, dysarthria, diaphoresis, and a movement disorder.|diaphoresis|metoclopramide
She was administered metoclopramide because of nausea and, within 2 hours, developed agitation, dysarthria, diaphoresis, and a movement disorder.|dysarthria|metoclopramide
She was administered metoclopramide because of nausea and, within 2 hours, developed agitation, dysarthria, diaphoresis, and a movement disorder.|movement disorder|metoclopramide
She was admitted following a fall and, after being given metoclopramide, developed movement disorder and a period of unresponsiveness.|movement disorder|metoclopramide
She was admitted following a fall and, after being given metoclopramide, developed movement disorder and a period of unresponsiveness.|unresponsiveness|metoclopramide
A patient suffering from a rare enzyme deficiency developed a malignant neuroleptic syndrome after having been treated with one single dose of haloperidol.|malignant neuroleptic syndrome|haloperidol
BACKGROUND: reports on delated cutaneous reactions to captopril have been seldom reported.|delated cutaneous reactions|captopril
Captopril is an angiotensin-converting enzyme (ACE) inhibitor and their cutaneous side-effects are documented, but little has been published concerning the usefulness of patch test when they occur.|cutaneous side-effects|Captopril
Dermatitis to captopril.|Dermatitis|captopril
We presented the case of a patient who developed a cutaneous reaction induced by captopril with positive patch test.|cutaneous reaction|captopril
A 62-year-old Caucasian man with atrial fibrillation who was taking warfarin reported an episode of hematochezia; his international normalized ratio (INR) was 1.74.|hematochezia|warfarin
Warfarin-associated bleeding complication saved life.|bleeding|Warfarin
